Time,bandwidth,delay
17:43.2,47.88,
17:43.3,63.84,
17:43.4,32.984,
17:43.5,50.54,
17:43.6,42.56,
17:43.7,37.24,
17:43.8,37.24,
17:43.9,45.22,
17:44.0,55.86,
17:44.1,55.86,
17:44.2,46.10666667,
17:44.3,63.84,
17:44.4,49.21,
17:44.5,44.33333333,
17:44.6,39.9,
17:44.7,53.2,
17:44.8,37.24,
17:44.9,40.78666667,
17:45.0,41.23,
17:45.1,50.54,
17:45.2,58.52,
17:45.3,55.86,
17:45.4,58.52,
17:45.5,52.136,
17:45.6,47.88,
17:45.7,58.52,
17:45.8,42.56,
17:45.9,37.24,
17:46.0,39.9,
17:46.1,50.54,
17:46.2,41.23,
17:46.3,50.54,
17:46.4,47.88,
17:46.5,39.19066667,
17:46.6,38.35371963,
17:46.7,39.34882883,
17:46.8,38.98109091,
17:46.9,41.75043478,
17:47.0,42.7025,
17:47.1,36.67575758,
17:47.2,36.25102564,
17:47.3,40.70418605,
17:47.4,42.52545455,
17:47.5,42.40504854,
17:47.6,51.5790625,
17:47.7,43.9777665,
17:47.8,32.62844221,
17:47.9,39.88621762,
17:48.0,45.885,
17:48.1,39.413125,
17:48.2,27.08588235,
17:48.3,28.61278075,
17:48.4,33.27593315,
17:48.5,38.68756906,
17:48.6,42.90885246,
17:48.7,32.7884225,
17:48.8,25.78480071,
17:48.9,20.93304348,
17:49.0,26.34650572,
17:49.1,22.66987138,
17:49.2,15.36314136,
17:49.3,21.07316762,
17:49.4,27.23291474,
17:49.5,24.41185809,
17:49.6,25.38743802,
17:49.7,27.93327586,
17:49.8,32.75426565,
17:49.9,28.45809749,
17:50.0,22.52337165,
17:50.1,23.6027874,
17:50.2,17.03086622,
17:50.3,19.76218469,
17:50.4,17.1941474,
17:50.5,11.837,
17:50.6,17.59162978,
17:50.7,37.51291382,
17:50.8,42.96082192,
17:50.9,26.23721848,
17:51.0,26.29448923,
17:51.1,26.77431193,
17:51.2,16.76076433,
17:51.3,13.37111568,
17:51.4,22.76834318,
17:51.5,29.49350226,
17:51.6,39.47610455,
17:51.7,20.64915546,
17:51.8,20.83289732,
17:51.9,27.00637168,
17:52.0,33.77686855,
17:52.1,19.94866511,
17:52.2,27.52575985,
17:52.3,24.6029892,
17:52.4,27.67613688,
17:52.5,20.87993923,
17:52.6,21.7417,
17:52.7,30.03111702,
17:52.8,35.60013423,
17:52.9,21.25224916,
17:53.0,17.99295285,
17:53.1,15.97842956,
17:53.2,19.9423884,
17:53.3,29.30245663,
17:53.4,21.96992504,
17:53.5,25.87141545,
17:53.6,27.95177083,
17:53.7,19.64811032,
17:53.8,18.50248247,
17:53.9,26.06525301,
17:54.0,24.12358297,
17:54.1,25.83958057,
17:54.2,18.59089305,
17:54.3,23.21296236,
17:54.4,29.4138843,
17:54.5,21.60540541,
17:54.6,20.43989422,
17:54.7,24.26583013,
17:54.8,28.0546721,
17:54.9,19.60840247,
17:55.0,28.80215969,
17:55.1,18.45853035,
17:55.2,21.90750605,
17:55.3,21.36713149,
17:55.4,29.61935933,
17:55.5,24.77042616,
17:55.6,21.4239415,
17:55.7,19.3127572,
17:55.8,22.57514483,
17:55.9,19.2996654,
17:56.0,21.39479307,
17:56.1,21.70997609,
17:56.2,20.64966825,
17:56.3,17.89577608,
17:56.4,17.99388306,
17:56.5,19.51754601,
17:56.6,17.07206067,
17:56.7,17.56939939,
17:56.8,11.46910983,
17:56.9,23.40577871,
17:57.0,17.19915937,
17:57.1,16.77928922,
17:57.2,18.10399319,
17:57.3,15.73982833,
17:57.4,16.21839094,
17:57.5,18.38357754,
17:57.6,21.51392649,
17:57.7,20.46252762,
17:57.8,19.16085028,
17:57.9,20.20893805,
17:58.0,17.13162011,
17:58.1,14.06263491,
17:58.2,19.4977852,
17:58.3,18.98987254,
17:58.4,23.136723,
17:58.5,18.51217718,
17:58.6,13.04373796,
17:58.7,11.88713656,
17:58.8,15.86623213,
17:58.9,20.69262454,
17:59.0,15.93264,
17:59.1,20.38035255,
17:59.2,17.74889435,
17:59.3,17.45054063,
17:59.4,16.6029558,
17:59.5,13.73931415,
17:59.6,13.91911946,
17:59.7,14.39205435,
17:59.8,15.56772472,
17:59.9,20.89474369,
18:00.0,14.61713995,
18:00.1,16.69015707,
18:00.2,23.97371153,
18:00.3,19.06906539,
18:00.4,16.52100555,
18:00.5,21.97893974,
18:00.6,18.2342543,
18:00.7,19.59577889,
18:00.8,18.29919598,
18:00.9,17.54776713,
18:01.0,15.47471749,
18:01.1,16.72917874,
18:01.2,14.4959024,
18:01.3,17.67313288,
18:01.4,14.43480732,
18:01.5,16.63147253,
18:01.6,21.24714697,
18:01.7,12.30656793,
18:01.8,15.59743753,
18:01.9,15.00311158,
18:02.0,12.82522311,
18:02.1,20.12357001,
18:02.2,11.05373134,
18:02.3,17.42495908,
18:02.4,18.05583142,
18:02.5,14.47946208,
18:02.6,15.11233627,
18:02.7,27.95490637,
18:02.8,28.58453933,
18:02.9,10.62930438,
18:03.0,12.07481081,
18:03.1,13.47205811,
18:03.2,13.68352445,
18:03.3,17.23422181,
18:03.4,13.54970565,
18:03.5,14.7950365,
18:03.6,12.04894134,
18:03.7,15.26261265,
18:03.8,17.74752,
18:03.9,10.96852247,
18:04.0,11.18655216,
18:04.1,16.16660194,
18:04.2,18.10934793,
18:04.3,12.64177943,
18:04.4,11.5257931,
18:04.5,16.93067439,
18:04.6,9.123699934,
18:04.7,11.55843648,
18:04.8,11.10872816,
18:04.9,9.946797787,
18:05.0,12.19502186,
18:05.1,9.929764781,
18:05.2,20.58574198,
18:05.3,13.30627655,
18:05.4,15.85151373,
18:05.5,10.61865013,
18:05.6,14.53186813,
18:05.7,23.64954799,
18:05.8,12.61774564,
18:05.9,9.186976118,
18:06.0,13.22243568,
18:06.1,13.74400915,
18:06.2,15.85454239,
18:06.3,12.09765034,
18:06.4,10.99776732,
18:06.5,13.24379361,
18:06.6,12.31897248,
18:06.7,11.65472798,
18:06.8,15.38539515,
18:06.9,11.28179775,
18:07.0,11.78757327,
18:07.1,23.06376471,
18:07.2,15.24796958,
18:07.3,20.40023346,
18:07.4,21.14131387,
18:07.5,27.12951788,
18:07.6,24.64527591,
18:07.7,25.21476992,
18:07.8,19.01944383,
18:07.9,21.43812081,
18:08.0,22.93281553,
18:08.1,18.0701676,
18:08.2,13.52086643,
18:08.3,17.9296778,
18:08.4,24.82771412,
18:08.5,19.54226277,
18:08.6,19.5637846,
18:08.7,10.38775862,
18:08.8,14.56883679,
18:08.9,21.52124105,
18:09.0,20.65622106,
18:09.1,19.45437892,
18:09.2,21.63396226,
18:09.3,31.43804878,
18:09.4,22.25610802,
18:09.5,16.49500565,
18:09.6,17.27550201,
18:09.7,15.65275316,
18:09.8,14.53495504,
18:09.9,19.63104072,
18:10.0,16.13248,
18:10.1,11.54973221,
18:10.2,13.9971335,
18:10.3,18.73647059,
18:10.4,15.7203793,
18:10.5,11.28011135,
18:10.6,13.552,
18:10.7,15.60075699,
18:10.8,30.87360294,
18:10.9,25.66681505,
18:11.0,16.75855301,
18:11.1,15.33517381,
18:11.2,14.51728814,
18:11.3,18.31303579,
18:11.4,20.98413431,
18:11.5,16.21810282,
18:11.6,13.27973179,
18:11.7,19.62109908,
18:11.8,13.65405517,
18:11.9,23.64727273,
18:12.0,19.00178824,
18:12.1,17.03726569,
18:12.2,10.4721593,
18:12.3,12.15264607,
18:12.4,15.44669544,
18:12.5,13.74689629,
18:12.6,17.57179775,
18:12.7,16.8709589,
18:12.8,16.00726856,
18:12.9,18.83793262,
18:13.0,19.53748938,
18:13.1,16.16533994,
18:13.2,13.1597299,
18:13.3,14.68996912,
18:13.4,22.69476003,
18:13.5,21.93446205,
18:13.6,28.59049505,
18:13.7,25.88261178,
18:13.8,28.7564752,
18:13.9,29.92450704,
18:14.0,31.66644714,
18:14.1,25.39268344,
18:14.2,28.14702222,
18:14.3,16.97889277,
18:14.4,19.03002469,
18:14.5,19.54423729,
18:14.6,22.35735808,
18:14.7,26.44547718,
18:14.8,13.80113588,
18:14.9,15.63222749,
18:15.0,17.94408131,
18:15.1,15.77065827,
18:15.2,17.37297959,
18:15.3,18.31408729,
18:15.4,11.80247536,
18:15.5,11.3786005,
18:15.6,11.59711932,
18:15.7,21.18503608,
18:15.8,22.28872203,
18:15.9,29.15021382,
18:16.0,18.98582751,
18:16.1,13.76858588,
18:16.2,20.13335041,
18:16.3,27.1216568,
18:16.4,27.664,
18:16.5,26.25515192,
18:16.6,28.7513099,
18:16.7,30.43051392,
18:16.8,32.15785395,
18:16.9,22.86762491,
18:17.0,19.59653894,
18:17.1,22.50914412,
18:17.2,31.20924159,
18:17.3,36.19278037,
18:17.4,32.72935065,
18:17.5,30.83858501,
18:17.6,26.59510129,
18:17.7,20.86338441,
18:17.8,24.81214815,
18:17.9,21.02774775,
18:18.0,28.57542642,
18:18.1,31.38196825,
18:18.2,31.34959052,
18:18.3,30.93693506,
18:18.4,21.30592593,
18:18.5,23.47827002,
18:18.6,27.29275013,
18:18.7,27.95053588,
18:18.8,30.74843716,
18:18.9,38.13618026,
18:19.0,33.51209486,
18:19.1,25.61295597,
18:19.2,42.24167213,
18:19.3,44.52729167,
18:19.4,45.96726804,
18:19.5,36.06300885,
18:19.6,28.13557643,
18:19.7,32.2525,
18:19.8,28.93900077,
18:19.9,28.32435045,
18:20.0,31.4153983,
18:20.1,28.75741138,
18:20.2,30.03730369,
18:20.3,24.47586207,
18:20.4,29.23757527,
18:20.5,26.05770833,
18:20.6,21.28786749,
18:20.7,31.19104447,
18:20.8,31.51700479,
18:20.9,26.88011794,
18:21.0,33.51973565,
18:21.1,25.4698736,
18:21.2,28.20027778,
18:21.3,22.99085973,
18:21.4,29.83895687,
18:21.5,30.84474279,
18:21.6,25.4502947,
18:21.7,24.22710013,
18:21.8,33.84261905,
18:21.9,31.99479789,
18:22.0,29.82322851,
18:22.1,31.62240964,
18:22.2,36.26061856,
18:22.3,34.80920635,
18:22.4,40.94548969,
18:22.5,42.06358145,
18:22.6,36.34471611,
18:22.7,34.19073171,
18:22.8,37.77454545,
18:22.9,30.66502564,
18:23.0,30.71576936,
18:23.1,31.62327739,
18:23.2,28.58672199,
18:23.3,33.85508674,
18:23.4,35.20684685,
18:23.5,30.97931126,
18:23.6,32.65019608,
18:23.7,30.28086486,
18:23.8,46.30412562,
18:23.9,47.20789441,
18:24.0,35.18296762,
18:24.1,42.51320506,
18:24.2,34.18592593,
18:24.3,43.02160521,
18:24.4,44.12348166,
18:24.5,29.25791862,
18:24.6,25.81540272,
18:24.7,28.1257031,
18:24.8,38.02416961,
18:24.9,47.38997109,
18:25.0,52.04276289,
18:25.1,47.26168009,
18:25.2,43.34637532,
18:25.3,41.8190748,
18:25.4,44.16887097,
18:25.5,35.9314202,
18:25.6,36.64134571,
18:25.7,35.68872987,
18:25.8,40.37069959,
18:25.9,42.31986111,
18:26.0,28.86466055,
18:26.1,31.50932392,
18:26.2,45.37022039,
18:26.3,41.9645977,
18:26.4,43.40918612,
18:26.5,43.28255212,
18:26.6,35.14204007,
18:26.7,42.34117002,
18:26.8,39.2629257,
18:26.9,36.0644083,
18:27.0,41.13292576,
18:27.1,37.56351351,
18:27.2,43.4058707,
18:27.3,45.51488,
18:27.4,54.19412537,
18:27.5,32.56214978,
18:27.6,32.36131818,
18:27.7,32.29304029,
18:27.8,34.54180157,
18:27.9,32.4825,
18:28.0,44.89798235,
18:28.1,30.69736215,
18:28.2,35.53484131,
18:28.3,32.52201396,
18:28.4,33.01552988,
18:28.5,46.78714214,
18:28.6,38.26269255,
18:28.7,37.68898462,
18:28.8,23.76015025,
18:28.9,23.04738255,
18:29.0,28.7872679,
18:29.1,33.0776438,
18:29.2,27.83860513,
18:29.3,31.74918856,
18:29.4,23.69296339,
18:29.5,27.62218341,
18:29.6,27.71211268,
18:29.7,28.94072375,
18:29.8,28.15698547,
18:29.9,33.1813253,
18:30.0,22.92025806,
18:30.1,23.65172414,
18:30.2,34.22812886,
18:30.3,23.94410874,
18:30.4,23.13427386,
18:30.5,22.74683871,
18:30.6,20.01548936,
18:30.7,19.20202192,
18:30.8,23.10299494,
18:30.9,29.27709237,
18:31.0,32.49136691,
18:31.1,35.0915915,
18:31.2,42.467058,
18:31.3,35.30486618,
18:31.4,35.81046553,
18:31.5,41.5488412,
18:31.6,41.76976127,
18:31.7,39.74467153,
18:31.8,29.10650373,
18:31.9,35.43626106,
18:32.0,48.64928021,
18:32.1,47.20346821,
18:32.2,40.23171765,
18:32.3,40.98030084,
18:32.4,33.37392891,
18:32.5,35.9950702,
18:32.6,39.69615894,
18:32.7,42.38795351,
18:32.8,37.33555041,
18:32.9,38.22528435,
18:33.0,31.97589303,
18:33.1,33.13701126,
18:33.2,39.09593401,
18:33.3,39.96506475,
18:33.4,37.44124151,
18:33.5,42.37831037,
18:33.6,45.62678959,
18:33.7,36.55113885,
18:33.8,36.16539535,
18:33.9,22.17520143,
18:34.0,28.56786759,
18:34.1,30.29313668,
18:34.2,41.27222222,
18:34.3,33.49598746,
18:34.4,38.66986889,
18:34.5,36.30906574,
18:34.6,40.86610613,
18:34.7,35.55736205,
18:34.8,32.8387632,
18:34.9,38.9595709,
18:35.0,44.0649505,
18:35.1,39.37661103,
18:35.2,45.02244032,
18:35.3,38.4202649,
18:35.4,29.68601563,
18:35.5,32.67495661,
18:35.6,38.17407821,
18:35.7,35.88735859,
18:35.8,34.3942556,
18:35.9,40.07810435,
18:36.0,41.31932103,
18:36.1,40.53997048,
18:36.2,43.43473077,
18:36.3,46.30780864,
18:36.4,44.84682976,
18:36.5,41.34474938,
18:36.6,43.93336957,
18:36.7,42.15648703,
18:36.8,41.14424044,
18:36.9,43.85530435,
18:37.0,37.74713559,
18:37.1,34.27519558,
18:37.2,29.13753629,
18:37.3,25.536,
18:37.4,38.08191377,
18:37.5,40.62979487,
18:37.6,44.03608696,
18:37.7,26.04389213,
18:37.8,28.0429589,
18:37.9,32.83924528,
18:38.0,30.4916496,
18:38.1,25.43580633,
18:38.2,20.6253325,
18:38.3,23.00047911,
18:38.4,23.21876375,
18:38.5,23.4732869,
18:38.6,29.5984493,
18:38.7,26.57871345,
18:38.8,22.22053242,
18:38.9,17.06157994,
18:39.0,17.18468907,
18:39.1,19.56587289,
18:39.2,23.54539768,
18:39.3,27.26384106,
18:39.4,23.01728525,
18:39.5,33.14769231,
18:39.6,27.38598291,
18:39.7,26.42493938,
18:39.8,20.49637838,
18:39.9,18.87548023,
18:40.0,14.35587201,
18:40.1,14.51202297,
18:40.2,21.61193317,
18:40.3,27.85635906,
18:40.4,35.64189723,
18:40.5,35.89495675,
18:40.6,39.88109645,
18:40.7,46.35883167,
18:40.8,41.51451382,
18:40.9,37.82816493,
18:41.0,38.95876923,
18:41.1,29.85017623,
18:41.2,33.83544715,
18:41.3,37.96882875,
18:41.4,32.01386611,
18:41.5,34.56891007,
18:41.6,23.76734102,
18:41.7,17.98851582,
18:41.8,21.17914692,
18:41.9,27.77839721,
18:42.0,23.73755752,
18:42.1,37.79014301,
18:42.2,39.05574489,
18:42.3,30.18410749,
18:42.4,33.97383378,
18:42.5,36.01572337,
18:42.6,31.17820117,
18:42.7,33.14331551,
18:42.8,38.69090909,
18:42.9,44.54156199,
18:43.0,47.76863939,
18:43.1,51.39625877,
18:43.2,50.97428571,
18:43.3,50.40342298,
18:43.4,48.24127404,
18:43.5,50.16135231,
18:43.6,41.63551343,
18:43.7,51.46564103,
18:43.8,40.02256863,
18:43.9,32.22862944,
18:44.0,42.14236715,
18:44.1,45.50951293,
18:44.2,23.43291621,
18:44.3,23.2996927,
18:44.4,30.67803783,
18:44.5,41.18452991,
18:44.6,35.00109446,
18:44.7,25.53315508,
18:44.8,30.54673895,
18:44.9,26.91002331,
18:45.0,20.04789946,
18:45.1,29.94656291,
18:45.2,24.04447983,
18:45.3,26.88593688,
18:45.4,40.78808647,
18:45.5,43.17416537,
18:45.6,33.936,
18:45.7,19.57681693,
18:45.8,26.91006135,
18:45.9,35.96510638,
18:46.0,33.07083579,
18:46.1,38.8140824,
18:46.2,38.70560784,
18:46.3,34.49643154,
18:46.4,39.1736219,
18:46.5,32.89925664,
18:46.6,41.73265823,
18:46.7,45.49458065,
18:46.8,38.98444367,
18:46.9,40.83254488,
18:47.0,41.43354298,
18:47.1,38.38909962,
18:47.2,36.56246334,
18:47.3,41.96736462,
18:47.4,37.84335878,
18:47.5,42.88334862,
18:47.6,44.32747107,
18:47.7,43.282,
18:47.8,44.68432681,
18:47.9,36.74059289,
18:48.0,32.31278754,
18:48.1,35.50893921,
18:48.2,25.72179793,
18:48.3,28.68173913,
18:48.4,33.67614035,
18:48.5,29.85558566,
18:48.6,26.15982206,
18:48.7,41.20884692,
18:48.8,41.70532335,
18:48.9,46.33062802,
18:49.0,37.4311068,
18:49.1,36.79953924,
18:49.2,42.24972633,
18:49.3,30.95739858,
18:49.4,26.91150713,
18:49.5,29.03554758,
18:49.6,35.55913097,
18:49.7,39.84017991,
18:49.8,24.09052939,
18:49.9,20.39364966,
18:50.0,26.58680556,
18:50.1,42.17101075,
18:50.2,20.70329096,
18:50.3,37.57177874,
18:50.4,31.62360432,
18:50.5,30.84729296,
18:50.6,23.72440639,
18:50.7,42.18377171,
18:50.8,30.28057971,
18:50.9,15.40469443,
18:51.0,23.76307811,
18:51.1,23.95772546,
18:51.2,24.34085176,
18:51.3,31.67086093,
18:51.4,33.70156226,
18:51.5,38.92155268,
18:51.6,32.05815034,
18:51.7,39.85867961,
18:51.8,35.27911158,
18:51.9,40.9036081,
18:52.0,25.1734843,
18:52.1,35.81629863,
18:52.2,23.6344784,
18:52.3,25.6007275,
18:52.4,47.19387548,
18:52.5,39.2137971,
18:52.6,47.72083607,
18:52.7,27.78086957,
18:52.8,32.16926829,
18:52.9,30.56016026,
18:53.0,39.12823249,
18:53.1,38.66229155,
18:53.2,30.35334027,
18:53.3,29.30580941,
18:53.4,35.11720641,
18:53.5,26.21964015,
18:53.6,47.17469697,
18:53.7,34.80462222,
18:53.8,43.75320942,
18:53.9,37.00789633,
18:54.0,46.58650086,
18:54.1,36.44451207,
18:54.2,41.87170621,
18:54.3,45.21410853,
18:54.4,41.31194313,
18:54.5,30.94308736,
18:54.6,42.42954389,
18:54.7,36.65638225,
18:54.8,28.88142322,
18:54.9,41.13424,
18:55.0,45.41246002,
18:55.1,38.64069221,
18:55.2,42.09534549,
18:55.3,42.03130435,
18:55.4,38.23033846,
18:55.5,37.57018561,
18:55.6,28.69290165,
18:55.7,27.20817914,
18:55.8,26.98690909,
18:55.9,42.72674157,
18:56.0,38.78424686,
18:56.1,42.08752448,
18:56.2,45.4575,
18:56.3,35.9388712,
18:56.4,35.44658037,
18:56.5,29.00642991,
18:56.6,24.74393064,
18:56.7,22.88417816,
18:56.8,29.70909091,
18:56.9,34.11238393,
18:57.0,25.36482981,
18:57.1,36.66486486,
18:57.2,30.21854965,
18:57.3,35.05024494,
18:57.4,17.51150451,
18:57.5,17.84371226,
18:57.6,31.11899951,
18:57.7,33.83229157,
18:57.8,24.06034021,
18:57.9,45.62688866,
18:58.0,53.69755396,
18:58.1,35.12746512,
18:58.2,34.8479056,
18:58.3,28.66848568,
18:58.4,33.54703737,
18:58.5,30.23664403,
18:58.6,29.54307432,
18:58.7,27.54914119,
