TIME,bandwidth,Lat,,
07:17.3,14.546,,,
07:17.4,17.262,,,
07:17.5,23.071,,,
07:17.6,22.365,,,
07:17.7,19.667,,,
07:17.8,19.846,,,
07:17.9,24.084,,,
07:18.0,24.637,,,
07:18.1,24.167,,,
07:18.2,23.679,,,
07:18.3,21.524,,,
07:18.4,20.029,,,
07:18.5,23.563,,,
07:18.6,22.841,,,
07:18.7,22.166,,,
07:18.8,12.311,,,
07:18.9,12.046,,,
07:19.0,10.813,,,
07:19.1,10.147,,,
07:19.2,7.762,,,
07:19.3,9.166,,,
07:19.4,7.989,,,
07:19.5,10.188,,,
07:19.6,11.21,,,
07:19.7,9.564,,,
07:19.8,10.695,,,
07:19.9,11.032,,,
07:20.0,13.355,,,
07:20.1,15.302,,,
07:20.2,22.72,,,
07:20.3,22.696,,,
07:20.4,23.159,,,
07:20.5,18.795,,,
07:20.6,21.76,,,
07:20.7,27.138,,,
07:20.8,23.859,,,
07:20.9,26.02,,,
07:21.0,26.021,,,
07:21.1,19.934,,,
07:21.2,23.413,,,
07:21.3,23.811,,,
07:21.4,21.262,,,
07:21.5,24.025,,,
07:21.6,20.162,,,
07:21.7,25.646,,,
07:21.8,23.967,,,
07:21.9,16.53,,,
07:22.0,19.408,,,
07:22.1,28.582,,,
07:22.2,22.352,,,
07:22.3,23.816,,,
07:22.4,17.225,,,
07:22.5,19.442,,,
07:22.6,22.728,,,
07:22.7,22.461,,,
07:22.8,23.693,,,
07:22.9,18.599,,,
07:23.0,20.711,,,
07:23.1,17.372,,,
07:23.2,24.637,,,
07:23.3,19.438,,,
07:23.4,22.354,,,
07:23.5,26.42,,,
07:23.6,31.667,,,
07:23.7,23.066,,,
07:23.8,18.677,,,
07:23.9,24.205,,,
07:24.0,21.677,,,
07:24.1,18.632,,,
07:24.2,19,,,
07:24.3,19.911,,,
07:24.4,19.396,,,
07:24.5,8.326,,,
07:24.6,8.255,,,
07:24.7,9.023,,,
07:24.8,9.372,,,
07:24.9,10.44,,,
07:25.0,9.712,,,
07:25.1,10.128,,,
07:25.2,16.91,,,
07:25.3,15.302,,,
07:25.4,17.274,,,
07:25.5,20.087,,,
07:25.6,16.348,,,
07:25.7,17.847,,,
07:25.8,11.055,,,
07:25.9,15.869,,,
07:26.0,14.565,,,
07:26.1,10.98,,,
07:26.2,16.058,,,
07:26.3,13.947,,,
07:26.4,17.713,,,
07:26.5,15.388,,,
07:26.6,12.03,,,
07:26.7,14.093,,,
07:26.8,14.613,,,
07:26.9,15.006,,,
07:27.0,15.848,,,
07:27.1,16.135,,,
07:27.2,17.481,,,
07:27.3,14.219,,,
07:27.4,12.194,,,
07:27.5,14.599,,,
07:27.6,18.816,,,
07:27.7,19.247,,,
07:27.8,18.959,,,
07:27.9,13.387,,,
07:28.0,18.449,,,
07:28.1,19.996,,,
07:28.2,19.32,,,
07:28.3,20.028,,,
07:28.4,17.049,,,
07:28.5,19.258,,,
07:28.6,18.898,,,
07:28.7,18.143,,,
07:28.8,17.494,,,
07:28.9,15.626,,,
07:29.0,20.72,,,
07:29.1,15.193,,,
07:29.2,16.716,,,
07:29.3,13.475,,,
07:29.4,18.523,,,
07:29.5,15.377,,,
07:29.6,21.02,,,
07:29.7,18.29,,,
07:29.8,16.742,,,
07:29.9,16.976,,,
07:30.0,19.571,,,
07:30.1,15.795,,,
07:30.2,14.331,,,
07:30.3,13.535,,,
07:30.4,16.753,,,
07:30.5,18.4,,,
07:30.6,10.592,,,
07:30.7,12.699,,,
07:30.8,13.037,,,
07:30.9,10.332,,,
07:31.0,14.587,,,
07:31.1,10.727,,,
07:31.2,10.773,,,
07:31.3,12.295,,,
07:31.4,10.967,,,
07:31.5,16.197,,,
07:31.6,11.833,,,
07:31.7,9.912,,,
07:31.8,16.326,,,
07:31.9,14.267,,,
07:32.0,13.528,,,
07:32.1,19.194,,,
07:32.2,19.234,,,
07:32.3,19.203,,,
07:32.4,18.756,,,
07:32.5,11.043,,,
07:32.6,10.848,,,
07:32.7,10.747,,,
07:32.8,10.459,,,
07:32.9,12.134,,,
07:33.0,12.927,,,
07:33.1,16.945,,,
07:33.2,12.961,,,
07:33.3,14.602,,,
07:33.4,13.968,,,
07:33.5,14.495,,,
07:33.6,15.391,,,
07:33.7,12.888,,,
07:33.8,9.612,,,
07:33.9,11.385,,,
07:34.0,10.24,,,
07:34.1,13.149,,,
07:34.2,10.577,,,
07:34.3,9.844,,,
07:34.4,12.482,,,
07:34.5,12.537,,,
07:34.6,15.226,,,
